date|time|description|vendor|amount
2023-01-05|09:32:17|Printer ink cartridges|Staples|-45.75
2023-02-10|13:45:00|Consultation fee|Smith & Co.|350.00
2023-03-22|08:20:45|Office chair|Office Depot|-199.99
2023-04-03|11:55:30|Travel reimbursement|Delta Airlines|245.00
2023-04-15|10:13:25|Ergonomic keyboard|Amazon|-89.50
2023-05-02|15:20:10|Website hosting renewal|GoDaddy|-120.00
2023-05-18|09:10:55|Coffee machine|Best Buy|-99.99
2023-06-07|14:30:00|Software subscription|Adobe|49.99
2023-06-15|12:05:20|Networking event tickets|Eventbrite|-75.00
2023-07-01|10:45:35|Stationery supplies|OfficeMax|-65.25
2023-07-15|16:55:40|Domain registration|Namecheap|-15.99
2023-08-05|09:25:15|Client lunch meeting|Cafe Milano|-78.50
2023-08-12|10:30:00|Monthly membership|Gym Plus|-50.00
2023-09-03|14:20:30|External hard drive|Best Buy|-129.99
2023-09-18|11:40:45|Conference registration|Tech Summit|-300.00
2023-10-10|08:15:00|Software license renewal|Microsoft|-199.00
2023-11-02|16:30:20|Employee training materials|Amazon|-75.50
2023-11-18|09:55:10|Phone bill payment|Verizon|85.00
2023-12-01|10:00:00|Holiday party catering|Catering Co.|500.00
2024-01-07|14:45:25|Monthly utilities|Electricity Co.|-150.00
2024-01-15|12:20:00|Project materials|Home Depot|-95.75
2024-02-02|11:10:30|Tax consultancy fee|Tax Masters|200.00
2024-02-20|09:30:45|Travel expenses|Uber|-45.20
2024-03-05|13:00:00|Software upgrade|Apple|99.99
2024-03-22|08:45:20|Internet service|Comcast|-80.00
2024-04-10|10:15:35|Office supplies|Staples|-55.40
2024-04-25|16:20:00|Team building activity|Escape Room|-200.00
2024-05-07|11:30:00|Advertising campaign|Google Ads|300.00
2024-05-20|09:40:15|Employee bonuses|HR Department|1000.00
